number_affected,number,reviewed,company,production_system,short_description,start_date,end_date,class,location,time zone,justification,assignment_group,sys_tag
7,CHG000001,Reviewed,CompanyA,false,Chanage short desc Wine - Cava Aria Estate Brut,2021-03-02 11:58:36,2021-01-14 15:25:30,Server,America/New_York,America/New York,Change Justification: Grand Tour: Disaster in Time (Timescape),@Network,""
3,CHG000002,Reviewed,Corporate,false,Chanage short desc Shrimp - Tiger 21/25,2021-04-14 17:01:00,2021-03-20 14:50:18,Appliation,America/New_York,America/New York,Change Justification: Basara: Princess Goh,@Server,MAJOR
1,CHG000003,Reviewed,CompanyA,false,Chanage short desc Pernod,2021-03-13 02:14:28,2021-03-12 21:39:38,Server,America/New_York,America/New York,Change Justification: Power/Rangers,@Network,""
8,CHG000004,Pending,CompanyB,true,Chanage short desc Veal - Slab Bacon,2021-02-24 00:00:26,2021-02-13 10:20:52,Network,America/New_York,America/New York,Change Justification: Thirteen Conversations About One Thing (a.k.a. 13 Conversations),@Database,""
47,CHG000005,Reviewed,CompanyB,false,Chanage short desc Mangostein,2021-01-22 21:03:04,2021-04-05 03:20:29,Network,America/New_York,America/New York,Change Justification: Can I Do It 'Till I Need Glasses?,@Database,""
18,CHG000006,Pending,Corporate,true,Chanage short desc Pheasants - Whole,2021-04-05 17:24:03,2021-02-27 20:39:39,Appliation,America/New_York,America/New York,Change Justification: Beautiful Joe,@Server,MAJOR
19,CHG000007,Reviewed,CompanyA,false,"Chanage short desc Pasta - Penne, Lisce, Dry",2021-02-11 05:51:29,2021-03-20 06:28:17,Server,America/New_York,America/New York,Change Justification: Alabama's Ghost,@Network,""
42,CHG000008,Pending,Corporate,true,Chanage short desc Shiratamako - Rice Flour,2021-02-19 12:00:08,2021-03-30 03:06:10,Appliation,America/New_York,America/New York,Change Justification: Hyde Park on Hudson,@Server,MAJOR
45,CHG000009,Reviewed,Corporate,false,Chanage short desc Snapple Raspberry Tea,2021-02-25 16:37:20,2021-02-01 16:14:13,Appliation,America/New_York,America/New York,"Change Justification: Dead Times (Temps morts, Les)",@Server,MAJOR
21,CHG0000010,Reviewed,Corporate,false,Chanage short desc Bols Melon Liqueur,2021-01-14 22:24:50,2021-02-10 15:12:17,Appliation,America/New_York,America/New York,"Change Justification: Lost World, The",@Server,MAJOR
2,CHG0000011,Pending,CompanyB,true,Chanage short desc Radish,2021-02-04 16:06:35,2021-03-02 17:45:25,Network,America/New_York,America/New York,"Change Justification: Trials of Cate McCall, The",@Database,""
10,CHG0000012,Pending,CompanyA,true,Chanage short desc Pears - Fiorelle,2021-03-20 15:59:53,2021-03-05 09:08:41,Server,America/New_York,America/New York,Change Justification: Endangered Species,@Network,""
15,CHG0000013,Reviewed,Corporate,false,Chanage short desc Scallops - In Shell,2021-01-22 01:12:06,2021-02-19 21:31:58,Appliation,America/New_York,America/New York,Change Justification: White Palace,@Server,MAJOR
1,CHG0000014,Reviewed,CompanyA,false,Chanage short desc Cilantro / Coriander - Fresh,2021-01-25 04:09:56,2021-03-11 20:39:22,Server,America/New_York,America/New York,"Change Justification: Amazing Adventure, The (a.k.a. The Amazing Quest of Ernest Bliss)",@Network,""
15,CHG0000015,Reviewed,Corporate,false,"Chanage short desc Beef - Outside, Round",2021-03-01 08:08:50,2021-01-08 12:15:17,Appliation,America/New_York,America/New York,Change Justification: Evidence ,@Server,MAJOR
31,CHG0000016,Reviewed,CompanyA,false,Chanage short desc Wine - Tribal Sauvignon,2021-01-26 19:48:40,2021-02-07 06:15:13,Server,America/New_York,America/New York,Change Justification: Simple Men,@Network,""
8,CHG0000017,Pending,CompanyB,true,Chanage short desc Chocolate - Semi Sweet,2021-03-22 11:52:22,2021-03-30 01:06:14,Network,America/New_York,America/New York,Change Justification: Aningaaq,@Database,""
42,CHG0000018,Pending,Corporate,true,Chanage short desc Pectin,2021-02-22 02:53:50,2021-02-11 11:22:30,Appliation,America/New_York,America/New York,Change Justification: Scott Pilgrim vs. the World,@Server,MAJOR
8,CHG0000019,Pending,CompanyB,true,Chanage short desc Foil - Round Foil,2021-04-05 01:03:22,2021-04-07 09:04:35,Network,America/New_York,America/New York,Change Justification: 10 000 timmar,@Database,""
19,CHG0000020,Reviewed,CompanyA,false,Chanage short desc Beef Tenderloin Aaa,2021-02-07 06:13:20,2021-03-02 01:22:55,Server,America/New_York,America/New York,Change Justification: Eternal Sunshine of the Spotless Mind,@Network,""
14,CHG0000021,Pending,CompanyB,true,Chanage short desc Bread - Hamburger Buns,2021-03-30 03:09:50,2021-01-01 16:50:18,Network,America/New_York,America/New York,Change Justification: Lunch Break,@Database,""
14,CHG0000022,Pending,CompanyB,true,"Chanage short desc Cake Circle, Paprus",2021-03-07 06:09:53,2021-01-14 21:04:13,Network,America/New_York,America/New York,Change Justification: Berserk,@Database,""
39,CHG0000023,Reviewed,Corporate,false,Chanage short desc Nantucket Orange Juice,2021-03-12 22:10:34,2021-03-27 14:20:42,Appliation,America/New_York,America/New York,Change Justification: De la servitude moderne,@Server,MAJOR
19,CHG0000024,Reviewed,CompanyA,false,"Chanage short desc Cheese - Manchego, Spanish",2021-02-23 14:28:41,2021-02-27 13:30:58,Server,America/New_York,America/New York,"Change Justification: Nine Lives of Fritz the Cat, The",@Network,""
47,CHG0000025,Reviewed,CompanyB,false,Chanage short desc Wine - Beaujolais Villages,2021-01-13 14:57:04,2021-02-13 05:14:20,Network,America/New_York,America/New York,Change Justification: No Exit (Huis clos),@Database,""
29,CHG0000026,Reviewed,CompanyB,false,Chanage short desc Persimmons,2021-02-18 11:32:11,2021-02-11 08:31:23,Network,America/New_York,America/New York,Change Justification: Let It Snow,@Database,""
14,CHG0000027,Pending,CompanyB,true,Chanage short desc Cheese - La Sauvagine,2021-01-31 12:46:26,2021-04-07 08:18:36,Network,America/New_York,America/New York,Change Justification: Teddy Bears' Picnic,@Database,""
36,CHG0000028,Pending,Corporate,true,Chanage short desc Broom And Brush Rack Black,2021-04-09 03:05:21,2021-02-20 19:39:43,Appliation,America/New_York,America/New York,Change Justification: V/H/S,@Server,MAJOR
3,CHG0000029,Reviewed,Corporate,false,Chanage short desc Carrots - Jumbo,2021-04-05 05:15:36,2021-01-04 05:28:33,Appliation,America/New_York,America/New York,Change Justification: I Start Counting,@Server,MAJOR
38,CHG0000030,Pending,CompanyB,true,Chanage short desc Muffin Mix - Oatmeal,2021-02-23 22:19:32,2021-02-03 16:41:13,Network,America/New_York,America/New York,Change Justification: Driven to Kill,@Database,""
38,CHG0000031,Pending,CompanyB,true,Chanage short desc Truffle Cups - Red,2021-03-11 22:38:48,2021-01-08 22:03:26,Network,America/New_York,America/New York,Change Justification: Dreamchild,@Database,""
42,CHG0000032,Pending,Corporate,true,Chanage short desc Tuna - Yellowfin,2021-03-29 13:54:29,2021-03-02 11:47:53,Appliation,America/New_York,America/New York,Change Justification: 1941,@Server,MAJOR
49,CHG0000033,Reviewed,CompanyA,false,Chanage short desc Plasticspoonblack,2021-04-01 06:29:12,2021-02-28 19:36:31,Server,America/New_York,America/New York,Change Justification: Letters to God,@Network,""
10,CHG0000034,Pending,CompanyA,true,Chanage short desc Cheese - Le Cheve Noir,2021-04-06 06:07:03,2021-04-08 10:09:51,Server,America/New_York,America/New York,Change Justification: Point and Shoot,@Network,""
34,CHG0000035,Pending,CompanyA,true,Chanage short desc Tomatoes - Heirloom,2021-02-17 11:37:51,2021-03-02 23:24:53,Server,America/New_York,America/New York,Change Justification: Best Seller,@Network,""
2,CHG0000036,Pending,CompanyB,true,Chanage short desc Star Fruit,2021-02-27 18:13:37,2021-04-08 13:00:41,Network,America/New_York,America/New York,Change Justification: Underworld: Rise of the Lycans,@Database,""
29,CHG0000037,Reviewed,CompanyB,false,Chanage short desc Eel - Smoked,2021-02-05 01:59:30,2021-03-08 11:54:27,Network,America/New_York,America/New York,Change Justification: FDR: American Badass!,@Database,""
44,CHG0000038,Pending,CompanyB,true,Chanage short desc Oil - Cooking Spray,2021-04-02 03:40:21,2021-04-07 23:03:25,Network,America/New_York,America/New York,Change Justification: Miracle in Milan (Miracolo a Milano),@Database,""
35,CHG0000039,Reviewed,CompanyB,false,Chanage short desc Lamb - Rack,2021-03-29 16:08:23,2021-01-23 07:24:25,Network,America/New_York,America/New York,Change Justification: Beverly Hills Cop,@Database,""
43,CHG0000040,Reviewed,CompanyA,false,Chanage short desc Eggplant Italian,2021-01-28 12:12:35,2021-02-10 19:23:07,Server,America/New_York,America/New York,Change Justification: Labor Day,@Network,""
18,CHG0000041,Pending,Corporate,true,Chanage short desc Jerusalem Artichoke,2021-01-19 01:30:42,2021-04-06 23:01:42,Appliation,America/New_York,America/New York,Change Justification: Bachelor Apartment,@Server,MAJOR
48,CHG0000042,Pending,Corporate,true,Chanage short desc Island Oasis - Raspberry,2021-01-11 00:06:45,2021-01-25 06:41:51,Appliation,America/New_York,America/New York,Change Justification: Magic Magic,@Server,MAJOR
40,CHG0000043,Pending,CompanyA,true,Chanage short desc Galliano,2021-03-21 06:59:58,2021-01-24 10:22:08,Server,America/New_York,America/New York,Change Justification: World Trade Center,@Network,""
20,CHG0000044,Pending,CompanyB,true,Chanage short desc Wine - Guy Sage Touraine,2021-03-03 13:34:47,2021-03-25 02:52:31,Network,America/New_York,America/New York,Change Justification: Alvin and the Chipmunks,@Database,""
18,CHG0000045,Pending,Corporate,true,Chanage short desc Apple - Macintosh,2021-03-28 19:58:17,2021-03-04 17:25:21,Appliation,America/New_York,America/New York,Change Justification: The Beaver Trilogy,@Server,MAJOR
7,CHG0000046,Reviewed,CompanyA,false,Chanage short desc Bread - Corn Muffaletta,2021-03-24 01:14:35,2021-01-06 08:01:41,Server,America/New_York,America/New York,Change Justification: The Plague of the Zombies,@Network,""
8,CHG0000047,Pending,CompanyB,true,Chanage short desc Chef Hat 25cm,2021-01-26 06:53:07,2021-04-11 06:24:30,Network,America/New_York,America/New York,Change Justification: Father and Guns (De père en flic),@Database,""
12,CHG0000048,Pending,Corporate,true,Chanage short desc Caviar - Salmon,2021-03-20 08:58:25,2021-01-05 05:37:36,Appliation,America/New_York,America/New York,Change Justification: Ryan's Daughter,@Server,MAJOR
4,CHG0000049,Pending,CompanyA,true,Chanage short desc Mushroom - Lg - Cello,2021-02-18 20:46:51,2021-03-28 15:08:45,Server,America/New_York,America/New York,Change Justification: Drag Me to Hell,@Network,""
13,CHG0000050,Reviewed,CompanyA,false,Chanage short desc Cheese - Oka,2021-01-06 19:30:12,2021-04-09 10:18:04,Server,America/New_York,America/New York,Change Justification: Animated Motion: Part 5,@Network,""
16,CHG0000051,Pending,CompanyA,true,"Chanage short desc Soup - Beef Conomme, Dry",2021-03-27 09:49:54,2021-02-06 02:53:37,Server,America/New_York,America/New York,Change Justification: Jabberwocky,@Network,""
6,CHG0000052,Pending,Corporate,true,"Chanage short desc Stock - Beef, Brown",2021-04-10 10:32:53,2021-02-25 00:17:54,Appliation,America/New_York,America/New York,"Change Justification: Tale of Springtime, A (Conte de Printemps)",@Server,MAJOR
49,CHG0000053,Reviewed,CompanyA,false,Chanage short desc Beef Dry Aged Tenderloin Aaa,2021-02-05 23:25:02,2021-03-01 10:36:45,Server,America/New_York,America/New York,Change Justification: Dead on Time,@Network,""
39,CHG0000054,Reviewed,Corporate,false,"Chanage short desc Onions - Dried, Chopped",2021-01-30 00:08:23,2021-02-10 05:15:49,Appliation,America/New_York,America/New York,Change Justification: Boomerang,@Server,MAJOR
1,CHG0000055,Reviewed,CompanyA,false,Chanage short desc Spring Roll Wrappers,2021-01-30 04:02:47,2021-02-23 12:01:32,Server,America/New_York,America/New York,"Change Justification: Saint in London, The",@Network,""
45,CHG0000056,Reviewed,Corporate,false,"Chanage short desc Mushroom - Chantrelle, Fresh",2021-03-28 13:49:14,2021-02-04 23:53:20,Appliation,America/New_York,America/New York,Change Justification: Dracula 2000,@Server,MAJOR
5,CHG0000057,Reviewed,CompanyB,false,Chanage short desc Beef - Diced,2021-03-10 21:10:52,2021-01-22 05:06:58,Network,America/New_York,America/New York,Change Justification: Ishtar,@Database,""
50,CHG0000058,Pending,CompanyB,true,"Chanage short desc Stock - Beef, White",2021-03-03 00:37:24,2021-01-02 22:10:06,Network,America/New_York,America/New York,Change Justification: Camille Claudel 1915,@Database,""
12,CHG0000059,Pending,Corporate,true,Chanage short desc Soup - Campbells Chili Veg,2021-01-31 22:51:03,2021-03-30 10:37:48,Appliation,America/New_York,America/New York,"Change Justification: Child Is Waiting, A",@Server,MAJOR
47,CHG0000060,Reviewed,CompanyB,false,Chanage short desc Hagen Daza - Dk Choocolate,2021-02-06 12:27:01,2021-02-24 18:40:50,Network,America/New_York,America/New York,Change Justification: 7th Heaven (Seventh Heaven),@Database,""
17,CHG0000061,Reviewed,CompanyB,false,Chanage short desc Sobe - Cranberry Grapefruit,2021-01-05 01:28:40,2021-01-02 06:38:48,Network,America/New_York,America/New York,Change Justification: Cradle 2 the Grave,@Database,""
17,CHG0000062,Reviewed,CompanyB,false,Chanage short desc Sprouts - Peppercress,2021-02-13 06:43:33,2021-01-22 03:11:38,Network,America/New_York,America/New York,Change Justification: What Just Happened,@Database,""
43,CHG0000063,Reviewed,CompanyA,false,"Chanage short desc Bread - Pullman, Sliced",2021-04-06 04:16:14,2021-01-03 01:55:58,Server,America/New_York,America/New York,"Change Justification: Brain, The",@Network,""
38,CHG0000064,Pending,CompanyB,true,Chanage short desc Veal - Sweetbread,2021-01-26 01:09:06,2021-04-02 05:22:23,Network,America/New_York,America/New York,Change Justification: Jane Eyre,@Database,""
15,CHG0000065,Reviewed,Corporate,false,Chanage short desc Persimmons,2021-02-09 21:30:01,2021-02-20 06:07:11,Appliation,America/New_York,America/New York,Change Justification: Heading South (Vers le sud),@Server,MAJOR
