number_affected,number,reviewed,company,production_system,short_description,start_date,end_date,class,location,time zone,justification,assignment_group,sys_tag
47,CHG000001,Reviewed,CompanyB,FALSE,Chanage short desc Temperature Recording Station,3/15/2021 19:05,3/14/2021 14:54,Network,America/New_York,America/New York,Change Justification: Sofia's Last Ambulance (Poslednaka lineika na Sofia),@Database,
32,CHG000002,Pending,CompanyB,TRUE,Chanage short desc Scrubbie - Scotchbrite Hand Pad,3/13/2021 4:15,3/19/2021 3:24,Network,America/New_York,America/New York,Change Justification: Pioneer (Pionér),@Database,
26,CHG000003,Pending,CompanyB,TRUE,Chanage short desc Thyme - Fresh,3/17/2021 6:03,3/9/2021 9:50,Network,America/New_York,America/New York,Change Justification: Liv & Ingmar,@Database,
19,CHG000004,Reviewed,CompanyA,FALSE,Chanage short desc Pie Box - Cello Window 2.5,3/8/2021 9:59,3/19/2021 16:00,Server,America/New_York,America/New York,"Change Justification: Visiteurs du soir, Les (Devil's Envoys, The)",@Network,
40,CHG000005,Pending,CompanyA,TRUE,Chanage short desc Anchovy Fillets,3/19/2021 21:52,3/10/2021 8:57,Server,America/New_York,America/New York,Change Justification: Here Comes the Navy,@Network,
25,CHG000006,Reviewed,CompanyA,FALSE,Chanage short desc Scallops - Live In Shell,3/18/2021 19:36,3/19/2021 15:07,Server,America/New_York,America/New York,Change Justification: Cast a Giant Shadow,@Network,
36,CHG000007,Pending,Corporate,TRUE,Chanage short desc Flavouring - Orange,3/6/2021 13:26,3/12/2021 7:16,Appliation,America/New_York,America/New York,Change Justification: Stray Cat Rock: Sex Hunter (Nora-neko rokku: Sekkusu hanta),@Server,MAJOR
9,CHG000008,Reviewed,Corporate,FALSE,Chanage short desc Wine - Balbach Riverside,3/19/2021 2:22,3/17/2021 5:06,Appliation,America/New_York,America/New York,Change Justification: Ali Baba Goes to Town,@Server,MAJOR
18,CHG000009,Pending,Corporate,TRUE,Chanage short desc Coffee Cup 12oz 5342cd,3/15/2021 14:58,3/13/2021 1:19,Appliation,America/New_York,America/New York,Change Justification: Trespass,@Server,MAJOR
50,CHG0000010,Pending,CompanyB,TRUE,Chanage short desc Coffee Beans - Chocolate,3/13/2021 13:58,3/11/2021 0:47,Network,America/New_York,America/New York,"Change Justification: Have Rocket, Will Travel",@Database,
45,CHG0000011,Reviewed,Corporate,FALSE,Chanage short desc Table Cloth 120 Round White,3/12/2021 7:38,3/11/2021 9:17,Appliation,America/New_York,America/New York,Change Justification: Raw Deal: A Question of Consent,@Server,MAJOR
47,CHG0000012,Reviewed,CompanyB,FALSE,Chanage short desc Cheese - Comtomme,3/8/2021 10:09,3/14/2021 6:52,Network,America/New_York,America/New York,Change Justification: Bird People,@Database,
21,CHG0000013,Reviewed,Corporate,FALSE,Chanage short desc Soup Knorr Chili With Beans,3/9/2021 22:28,3/17/2021 0:40,Appliation,America/New_York,America/New York,Change Justification: My Father the Hero,@Server,MAJOR
47,CHG0000014,Reviewed,CompanyB,FALSE,Chanage short desc Corn - On The Cob,3/7/2021 21:46,3/18/2021 20:28,Network,America/New_York,America/New York,Change Justification: Superman vs. The Elite,@Database,
37,CHG0000015,Reviewed,CompanyA,FALSE,Chanage short desc Lobster - Base,3/15/2021 21:04,3/18/2021 21:15,Server,America/New_York,America/New York,Change Justification: Tokyo-Ga,@Network,
18,CHG0000016,Pending,Corporate,TRUE,Chanage short desc Tomato Paste,3/18/2021 7:41,3/12/2021 22:19,Appliation,America/New_York,America/New York,Change Justification: Shock Treatment,@Server,MAJOR
43,CHG0000017,Reviewed,CompanyA,FALSE,Chanage short desc Kiwano,3/15/2021 14:03,3/19/2021 20:55,Server,America/New_York,America/New York,Change Justification: Michael,@Network,
2,CHG0000018,Pending,CompanyB,TRUE,Chanage short desc Cookie Double Choco,3/15/2021 3:10,3/15/2021 8:40,Network,America/New_York,America/New York,Change Justification: The Other Side of the Mountain,@Database,
27,CHG0000019,Reviewed,Corporate,FALSE,Chanage short desc Soup Campbells Turkey Veg.,3/9/2021 15:31,3/10/2021 0:27,Appliation,America/New_York,America/New York,Change Justification: The Day I Saw Your Heart,@Server,MAJOR
36,CHG0000020,Pending,Corporate,TRUE,Chanage short desc Pie Shell - 5,3/9/2021 9:30,3/10/2021 5:52,Appliation,America/New_York,America/New York,Change Justification: Watercolors,@Server,MAJOR
40,CHG0000021,Pending,CompanyA,TRUE,Chanage short desc Soup - Campbells Chili,3/13/2021 13:23,3/19/2021 9:20,Server,America/New_York,America/New York,Change Justification: Paheli,@Network,
43,CHG0000022,Reviewed,CompanyA,FALSE,"Chanage short desc Soup - Campbells, Butternut",3/7/2021 13:15,3/13/2021 17:29,Server,America/New_York,America/New York,"Change Justification: Story of the Late Chrysanthemums, The (Zangiku monogatari)",@Network,
11,CHG0000023,Reviewed,CompanyB,FALSE,Chanage short desc Vinegar - Raspberry,3/16/2021 10:15,3/19/2021 9:39,Network,America/New_York,America/New York,Change Justification: Run If You Can,@Database,
25,CHG0000024,Reviewed,CompanyA,FALSE,"Chanage short desc Tomatoes - Vine Ripe, Red",3/9/2021 10:13,3/10/2021 8:07,Server,America/New_York,America/New York,Change Justification: City Lights,@Network,
26,CHG0000025,Pending,CompanyB,TRUE,Chanage short desc Lettuce - Spring Mix,3/16/2021 2:31,3/10/2021 0:53,Network,America/New_York,America/New York,Change Justification: Mr. Hobbs Takes a Vacation,@Database,
38,CHG0000026,Pending,CompanyB,TRUE,Chanage short desc Heavy Duty Dust Pan,3/7/2021 4:02,3/16/2021 4:18,Network,America/New_York,America/New York,Change Justification: Burn Paris Burn,@Database,
48,CHG0000027,Pending,Corporate,TRUE,Chanage short desc Water - Spring 1.5lit,3/13/2021 13:49,3/10/2021 20:36,Appliation,America/New_York,America/New York,Change Justification: Strangers in Good Company,@Server,MAJOR
23,CHG0000028,Reviewed,CompanyB,FALSE,Chanage short desc Wine - Chateau Timberlay,3/17/2021 7:12,3/16/2021 22:06,Network,America/New_York,America/New York,"Change Justification: Execution of P, The (Kinatay)",@Database,
10,CHG0000029,Pending,CompanyA,TRUE,Chanage short desc Cabbage - Nappa,3/8/2021 22:02,3/10/2021 6:41,Server,America/New_York,America/New York,Change Justification: I'm Going Home (Je rentre à la maison),@Network,
