number_affected,number,reviewed,company,production_system,short_description,start_date,end_date,class,location,time zone,justification,assignment_group,sys_tag
1,CHG000001,Reviewed,CompanyA,false,Chanage short desc Papayas,2021-05-25 21:13:25,2021-03-19 01:35:56,Server,America/New_York,America/New York,Change Justification: Armour of God (Long xiong hu di),@Network,""
16,CHG000002,Pending,CompanyA,true,Chanage short desc Carbonated Water - Raspberry,2021-04-11 06:57:53,2021-04-15 12:28:51,Server,America/New_York,America/New York,"Change Justification: Hatchet for the Honeymoon (Rosso segno della follia, Il)",@Network,""
14,CHG000003,Pending,CompanyB,true,Chanage short desc Juice - Orange 1.89l,2021-03-21 04:16:20,2021-03-06 09:01:46,Network,America/New_York,America/New York,"Change Justification: Music Never Stopped, The",@Database,""
21,CHG000004,Reviewed,Corporate,false,Chanage short desc Bread - Crusty Italian Poly,2021-04-15 22:36:25,2021-05-28 16:05:59,Appliation,America/New_York,America/New York,Change Justification: Rusalochka (The Little Mermaid),@Server,MAJOR
25,CHG000005,Reviewed,CompanyA,false,Chanage short desc Grapes - Red,2021-04-11 21:51:31,2021-04-17 03:21:21,Server,America/New_York,America/New York,Change Justification: Horror Business,@Network,""
39,CHG000006,Reviewed,Corporate,false,Chanage short desc Milkettes - 2%,2021-04-29 20:46:20,2021-05-05 23:31:01,Appliation,America/New_York,America/New York,Change Justification: Blackadder Back & Forth,@Server,MAJOR
19,CHG000007,Reviewed,CompanyA,false,Chanage short desc Beans - French,2021-04-30 00:37:46,2021-04-28 10:43:40,Server,America/New_York,America/New York,Change Justification: Trouble in Paradise,@Network,""
23,CHG000008,Reviewed,CompanyB,false,"Chanage short desc Veal - Inside, Choice",2021-03-21 06:53:17,2021-03-11 03:48:55,Network,America/New_York,America/New York,Change Justification: Monte Walsh,@Database,""
41,CHG000009,Reviewed,CompanyB,false,Chanage short desc Figs,2021-03-23 21:14:48,2021-05-08 16:30:00,Network,America/New_York,America/New York,Change Justification: Fraternity Demon,@Database,""
17,CHG0000010,Reviewed,CompanyB,false,Chanage short desc Chocolate - Dark Callets,2021-03-27 08:06:05,2021-03-28 06:48:13,Network,America/New_York,America/New York,"Change Justification: Dunwich Horror, The",@Database,""
19,CHG0000011,Reviewed,CompanyA,false,Chanage short desc Longos - Penne With Pesto,2021-05-01 21:09:59,2021-05-19 12:03:47,Server,America/New_York,America/New York,Change Justification: Madame Curie,@Network,""
18,CHG0000012,Pending,Corporate,true,Chanage short desc Persimmons,2021-05-30 18:18:07,2021-03-05 09:43:31,Appliation,America/New_York,America/New York,Change Justification: Invisible Target (Naam yi boon sik),@Server,MAJOR
30,CHG0000013,Pending,Corporate,true,Chanage short desc Lamb - Ground,2021-04-17 22:04:55,2021-04-14 23:11:44,Appliation,America/New_York,America/New York,Change Justification: Spetters,@Server,MAJOR
12,CHG0000014,Pending,Corporate,true,Chanage short desc Onions - Spanish,2021-03-28 07:43:27,2021-03-25 12:44:38,Appliation,America/New_York,America/New York,Change Justification: Living in Emergency: Stories of Doctors Without Borders,@Server,MAJOR
28,CHG0000015,Pending,CompanyA,true,Chanage short desc Butter Ripple - Phillips,2021-05-04 22:21:51,2021-04-18 17:26:15,Server,America/New_York,America/New York,Change Justification: Last Cowboy Standing (Skavabölen pojat),@Network,""
29,CHG0000016,Reviewed,CompanyB,false,Chanage short desc Ginsing - Fresh,2021-04-22 04:23:47,2021-03-18 05:54:49,Network,America/New_York,America/New York,Change Justification: Baby On Board,@Database,""
30,CHG0000017,Pending,Corporate,true,Chanage short desc Cake - Pancake,2021-05-04 07:01:10,2021-04-27 10:42:53,Appliation,America/New_York,America/New York,Change Justification: Get Well Soon,@Server,MAJOR
18,CHG0000018,Pending,Corporate,true,Chanage short desc Spinach - Spinach Leaf,2021-05-24 10:37:37,2021-04-14 06:39:39,Appliation,America/New_York,America/New York,"Change Justification: King Is Alive, The",@Server,MAJOR
36,CHG0000019,Pending,Corporate,true,"Chanage short desc Vermouth - Sweet, Cinzano",2021-04-30 20:36:19,2021-03-26 13:51:25,Appliation,America/New_York,America/New York,Change Justification: Marius and Jeanette (Marius et Jeannette),@Server,MAJOR
34,CHG0000020,Pending,CompanyA,true,Chanage short desc Banana - Leaves,2021-05-02 07:34:38,2021-03-20 01:21:01,Server,America/New_York,America/New York,Change Justification: Black Swan,@Network,""
47,CHG0000021,Reviewed,CompanyB,false,"Chanage short desc Wine - White, Concha Y Toro",2021-03-25 00:00:10,2021-05-10 07:12:58,Network,America/New_York,America/New York,Change Justification: Cruel Intentions 3,@Database,""
