number_affected,number,reviewed,company,production_system,short_description,start_date,end_date,class,location,time zone,justification,assignment_group,sys_tag
19,CHG000001,Reviewed,CompanyA,FALSE,Chanage short desc Soup - Campbells Beef Noodle,3/19/2021 8:16,4/29/2021 19:20,Server,America/New_York,America/New York,Change Justification: BBOY for LIFE,@Network,
36,CHG000002,Pending,Corporate,TRUE,"Chanage short desc Cheese - Cheddar, Old White",3/19/2021 19:29,3/21/2021 4:57,Appliation,America/New_York,America/New York,"Change Justification: No Blood Relation (Stepchild, The) (Nasanunaka)",@Server,MAJOR
24,CHG000003,Pending,Corporate,TRUE,Chanage short desc Pie Shells 10,3/19/2021 7:44,4/19/2021 15:33,Appliation,America/New_York,America/New York,Change Justification: Europa Europa (Hitlerjunge Salomon),@Server,MAJOR
39,CHG000004,Reviewed,Corporate,FALSE,Chanage short desc Wine - Chablis 2003 Champs,3/19/2021 23:50,4/11/2021 2:07,Appliation,America/New_York,America/New York,"Change Justification: Court-Martial of Billy Mitchell, The",@Server,MAJOR
2,CHG000005,Pending,CompanyB,TRUE,"Chanage short desc Orange - Canned, Mandarin",3/19/2021 7:22,5/20/2021 14:15,Network,America/New_York,America/New York,Change Justification: Advanced Style,@Database,
23,CHG000006,Reviewed,CompanyB,FALSE,"Chanage short desc Lamb - Pieces, Diced",3/19/2021 5:19,3/22/2021 20:12,Network,America/New_York,America/New York,Change Justification: And Then There Was You,@Database,
8,CHG000007,Pending,CompanyB,TRUE,Chanage short desc Sterno - Chafing Dish Fuel,3/19/2021 13:19,4/16/2021 0:06,Network,America/New_York,America/New York,Change Justification: Four Minutes (Vier Minuten),@Database,
42,CHG000008,Pending,Corporate,TRUE,Chanage short desc Potatoes - Pei 10 Oz,3/19/2021 20:15,5/6/2021 6:57,Appliation,America/New_York,America/New York,Change Justification: Aces 'N' Eights,@Server,MAJOR
49,CHG000009,Reviewed,CompanyA,FALSE,Chanage short desc Soup - Campbells Chili,3/19/2021 9:35,5/14/2021 18:22,Server,America/New_York,America/New York,Change Justification: Cloudy with a Chance of Meatballs,@Network,
42,CHG0000010,Pending,Corporate,TRUE,"Chanage short desc Chilli Paste, Hot Sambal Oelek",3/19/2021 23:03,5/25/2021 0:30,Appliation,America/New_York,America/New York,"Change Justification: Friends of Eddie Coyle, The",@Server,MAJOR
26,CHG0000011,Pending,CompanyB,TRUE,Chanage short desc Lemon Pepper,3/19/2021 21:07,3/27/2021 14:50,Network,America/New_York,America/New York,Change Justification: Real Genius,@Database,
36,CHG0000012,Pending,Corporate,TRUE,"Chanage short desc Nut - Walnut, Chopped",3/19/2021 4:01,3/1/2021 2:43,Appliation,America/New_York,America/New York,Change Justification: Friendly Persuasion,@Server,MAJOR
32,CHG0000013,Pending,CompanyB,TRUE,Chanage short desc Beef Striploin Aaa,3/19/2021 19:32,5/23/2021 18:06,Network,America/New_York,America/New York,Change Justification: Harley Davidson and the Marlboro Man,@Database,
24,CHG0000014,Pending,Corporate,TRUE,"Chanage short desc Liners - Banana, Paper",3/19/2021 2:58,3/18/2021 7:02,Appliation,America/New_York,America/New York,Change Justification: Bungee Jumping of Their Own (Beonjijeompeureul hada),@Server,MAJOR
